Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size,cret,car,bhar,nrets_est
2007062683.0,MPB,2022-12-20,53900.0,491578.85,0.1096467026602141,Market Model,2022-12-20,0.5,0,1,13.10537763296576,-0.097728631,-0.094753947,-0.092189707,250
2007065556.0,AMPS,2022-12-27,293000.0,1011740.73,0.2895998859312504,Market Model,2022-12-27,0.0,0,0,13.827182900353662,0.0540935673,0.0722156155,0.0449885663,250
2007073155.0,TRN,2022-12-30,80000.0,2429065.52,0.0329344759708251,Market Model,2022-12-30,0.0,0,1,14.703017181683917,-0.130590924,-0.091997996,-0.090940306,250
2007588329.0,OXY,2022-12-31,400000.0,57252492.86,0.0069865953431603,Market Model,2023-01-03,0.0,0,1,17.86298174285675,-0.065650889,-0.14560894,-0.150097022,250
2007076111.0,ZEUS,2023-01-03,131000.0,373745.4,0.3505059861606323,Market Model,2023-01-03,0.0,0,1,12.831330095918986,0.0107277472,0.0252514775,0.0167980446,250
2007071059.0,PRGS,2023-01-03,355000.0,2182315.65,0.1626712432731717,Market Model,2023-01-03,0.0,0,0,14.595897095774374,-0.029994445,-0.005436546,-0.005135669,250
2007076106.0,MSFT,2023-01-09,190000.0,1675053710.0,0.0001134291986374,Market Model,2023-01-09,0.0,0,0,21.23911106738099,-0.016450464,-0.039415318,-0.041923343,250
2007083787.0,LIVE,2023-01-19,84000.0,111691.0,0.752074920987367,Market Model,2023-01-19,0.0507619047619047,0,0,11.623491408847825,0.3939393939,0.3200366067,0.3589296067,250
2007084856.0,XYL,2023-01-22,7500000.0,19856859.96,0.3777032227204164,Market Model,2023-01-23,1.0,0,1,16.804060095319464,-0.066395789,-0.11530798,-0.120013988,250
2007088705.0,MQ,2023-01-30,275000.0,3288942.8,0.0836134942815059,Market Model,2023-01-30,0.0,0,0,15.006076733715616,0.1666666667,0.0133933142,0.0018683151,250
2007091362.0,MGRC,2023-02-01,400000.0,2427581.52,0.1647730453970501,Market Model,2023-02-01,0.0,0,0,14.702406060458117,0.0475498478,-0.02144874,-0.027012374,250
2007096616.0,POST,2023-02-08,1200000.0,5534561.76,0.2168193349422484,Market Model,2023-02-08,0.4491666666666666,0,1,15.526522944838517,-0.047518256,-0.119406516,-0.123282371,250
1941486994.0,CPUH,2023-02-09,378120.0,888375.0,0.425631067961165,Market Model,2023-02-09,1.0,0,0,13.697149230129195,0.0048971596,0.0022688072,0.0022306786,250
1941616525.0,GMED,2023-02-09,3100000.0,5957627.52,0.5203413589710288,Market Model,2023-02-09,1.0,1,1,15.600182892677694,-0.171686747,-0.218197805,-0.224659833,250
1941596128.0,GATE,2023-02-14,750000.0,19449.6,38.56120434353406,Market Model,2023-02-14,1.0,0,1,9.87558178328242,-0.000496278,-0.001530958,-0.003461147,237
2007130936.0,BRDG,2023-02-14,320100.0,425836.32,0.7516972718531852,Market Model,2023-02-14,0.0,0,1,12.96181032606592,-0.038277512,-0.044295485,-0.048028105,250
2007110944.0,REPX,2023-02-22,330000.0,601776.0,0.5483768046582117,Market Model,2023-02-22,0.0,0,1,13.307640562023916,-0.110866132,-0.179445339,-0.183826138,250
2007110018.0,MO,2023-03-03,3250000.0,83264357.58,0.0390323073936818,Market Model,2023-03-03,0.0,0,0,18.237531135378145,-0.019562474,-0.016124955,-0.016893278,250
2007113660.0,HNI,2023-03-08,485000.0,1239725.58,0.3912156107967054,Market Model,2023-03-08,0.3,1,1,14.03040060663772,-0.164676752,-0.097669986,-0.097537985,250
1941704614.0,PFE,2023-03-13,43000000.0,221108477.85,0.1944746778509831,Market Model,2023-03-13,0.0,1,1,19.214163989054573,-0.058375635,-0.048395646,-0.047938792,250
